X,Y,objectid,stop_id,stop_name,latitude,longitude,zone_id,location_type,parent_station,wheelchair_boarding,creationdate,creator,editdate,editor
16.5466570002609,49.0789209999303,1569,U15211Z2,"Syrovice, MŠ",49.078921,16.546657,520,0,U15211N748,2,2020/09/22 10:29:25+00,DataBrno,2020/09/22 10:29:25+00,DataBrno
16.5226830000119,49.065402999863,1570,U15201Z1,Bratčice,49.065403,16.522683,520,0,U15201N743,2,2020/09/22 10:29:25+00,DataBrno,2020/09/22 10:29:25+00,DataBrno
16.5174869997798,49.0596419997652,1571,U15202Z1,"Bratčice, pískovna",49.059642,16.517487,520,0,U15202N742,2,2020/09/22 10:29:25+00,DataBrno,2020/09/22 10:29:25+00,DataBrno
16.5007859999211,49.0505220002729,1572,U15207Z1,Němčičky,49.050522,16.500786,520,0,U15207N741,2,2020/09/22 10:29:25+00,DataBrno,2020/09/22 10:29:25+00,DataBrno
16.4866750002318,49.0546220002733,1573,U14354Z1,Pravlov,49.054622,16.486675,437,0,U14354N740,2,2020/09/22 10:29:25+00,DataBrno,2020/09/22 10:29:25+00,DataBrno
16.4798920002862,49.054160999722,1574,U14355Z1,"Pravlov, kulturní dům",49.054161,16.479892,437,0,U14355N739,2,2020/09/22 10:29:25+00,DataBrno,2020/09/22 10:29:25+00,DataBrno
16.4335449997453,49.0831470002305,1575,U14347Z1,"Moravské Bránice, JOPA-Osičkova",49.083147,16.433545,437,0,U14347N749,2,2020/09/22 10:29:25+00,DataBrno,2020/09/22 10:29:25+00,DataBrno
16.4045979997453,49.0895479999951,1576,U14452Z2,"Ivančice, Stříbský mlýn",49.089548,16.404598,447,0,U14452N750,2,2020/09/22 10:29:25+00,DataBrno,2020/09/22 10:29:25+00,DataBrno
16.3892069995908,49.1006049999166,1577,U14444Z2,"Ivančice, Horní Hlinky",49.100605,16.389207,447,0,U14444N751,2,2020/09/22 10:29:25+00,DataBrno,2020/09/22 10:29:25+00,DataBrno
16.3751129996199,49.1022770001359,1578,U14446Z10,"Ivančice, náměstí",49.102277,16.375113,447,0,U14446N716,2,2020/09/22 10:29:25+00,DataBrno,2020/09/22 10:29:25+00,DataBrno
16.3753820001317,49.1023680000908,1579,U14446Z6,"Ivančice, náměstí",49.102368,16.375382,447,0,U14446N716,2,2020/09/22 10:29:25+00,DataBrno,2020/09/22 10:29:25+00,DataBrno
16.3817630003945,49.1034440001814,1580,U14444Z1,"Ivančice, Horní Hlinky",49.103444,16.381763,447,0,U14444N751,2,2020/09/22 10:29:25+00,DataBrno,2020/09/22 10:29:25+00,DataBrno
16.4044870003155,49.0895269998905,1581,U14452Z1,"Ivančice, Stříbský mlýn",49.089527,16.404487,447,0,U14452N750,2,2020/09/22 10:29:25+00,DataBrno,2020/09/22 10:29:25+00,DataBrno
16.4335449997453,49.0831470002305,1582,U14347Z2,"Moravské Bránice, JOPA-Osičkova",49.083147,16.433545,437,0,U14347N749,2,2020/09/22 10:29:25+00,DataBrno,2020/09/22 10:29:25+00,DataBrno
16.5466570002609,49.0789209999303,1583,U15211Z1,"Syrovice, MŠ",49.078921,16.546657,520,0,U15211N748,2,2020/09/22 10:29:25+00,DataBrno,2020/09/22 10:29:25+00,DataBrno
16.616961000434,49.0336140002038,1584,U15241Z4,"Židlochovice, železniční stanice",49.033614,16.616961,525,0,U15241N454,2,2020/09/22 10:29:25+00,DataBrno,2020/09/22 10:29:25+00,DataBrno
16.6451150000406,49.05613699987,1585,U15215Z2,"Blučina, obchodní středisko",49.056137,16.645115,525,0,U15215N752,2,2020/09/22 10:29:25+00,DataBrno,2020/09/22 10:29:25+00,DataBrno
16.6412389995584,49.076022000014,1586,U15131Z2,Opatovice,49.076022,16.641239,510,0,U15131N753,2,2020/09/22 10:29:25+00,DataBrno,2020/09/22 10:29:25+00,DataBrno
