id,date,city,city_district,price,type,area,ownership,building_type,penb,equipment,floor,balcony,terace,lift,garage,coordinates
225868,2020-11-25 16:10:07.526007 UTC,Brno,Královo Pole,10400,1+1,45,1,1,"",3,2,false,false,false,false,"49.2271183,16.5905183"
554701,2020-11-25 16:05:29.215837 UTC,Brno,Husovice,13000,2+kk,52,1,1,C,3,2,true,false,false,false,"49.2144262,16.6379903"
515131,2020-11-25 16:12:44.000534 UTC,Brno,Královo Pole,12500,2+1,56,1,1,B,3,1,false,false,false,false,"49.2231615,16.5868266"
597509,2020-11-25 16:07:48.410349 UTC,Brno,Zábrdovice,10400,1+kk,25,1,1,C,0,3,false,false,true,false,"49.19528,16.617736"
618038,2020-11-25 16:05:26.503484 UTC,Brno,Veveří,11200,1+1,20,1,1,C,3,3,true,true,false,false,"49.199631,16.589125"
334574,2020-11-25 16:10:28.610363 UTC,Brno,Černovice,14000,3+1,105,1,1,"",1,2,false,true,false,false,"49.187067,16.638855"
635053,2020-11-25 16:07:10.568679 UTC,Brno,Město Brno,11500,2+kk,49,1,2,D,2,0,false,false,false,false,"49.198531,16.61041"
164248,2020-11-25 16:00:14.284078 UTC,Brno,Zábrdovice,13900,2+kk,85,1,1,"",2,7,false,false,true,false,"49.2000693,16.6136334"
628093,2020-11-25 16:09:55.430882 UTC,Brno,Židenice,12000,2+kk,44,1,1,C,1,2,false,true,false,false,"49.1983942,16.6511359"
304302,2020-11-25 16:13:22.313854 UTC,Brno,Bohunice,13100,2+1,56,1,2,"",3,1,true,false,false,false,"49.1671666,16.5831516"
423309,2020-11-25 16:05:23.61305 UTC,Brno,Řečkovice,12000,2+kk,56,1,3,C,2,4,false,false,false,false,"49.2412231,16.5861749"
632787,2020-11-25 16:12:24.610186 UTC,Brno,Židenice,11000,1+kk,33,1,0,G,2,1,false,false,false,false,"49.204397,16.657421"
518290,2020-11-25 16:07:54.016632 UTC,Brno,Slatina,16400,3+kk,68,1,1,B,3,5,true,true,true,true,"49.178338,16.6805261"
639251,2020-11-25 16:04:26.992701 UTC,Brno,Lesná,11500,2+1,60,1,2,C,2,6,true,false,true,false,"49.225414,16.626481"
622891,2020-11-25 16:02:52.16744 UTC,Brno,Pisárky,18675,1+kk,0,0,0,"",3,4,false,false,true,false,"49.1926173,16.5633806"
640547,2020-11-25 16:01:20.118745 UTC,Brno,Město Brno,12500,1+kk,30,1,1,A,3,3,false,false,false,false,"49.198531,16.61041"
640495,2020-11-25 16:01:37.801544 UTC,Brno,Komín,13800,2+1,52,1,1,B,2,2,false,false,false,false,"49.219433,16.542629"
