city,city_district,price,type,area,building_type,penb,equipment,floor,balcony,terace,lift,garage,lat,lon,demand,group,individual,family,men,women,students,working,pensioners,cellar,parking,pets,smoking,state
Brno,Staré Brno,15000,2+kk,51,1,B,2,4,True,False,True,False,49.189118,16.588927,Rent,0,0,0,0,1,0,1,1,1,1,1,1,0
Brno,Židenice,16000,2+kk,66,1,B,2,2,True,False,True,True,49.196952,16.6594,Rent,1,0,0,0,0,0,1,1,1,0,1,1,2
Brno,Starý Lískovec,13500,3+1,67,2,C,0,5,False,False,True,False,49.172253,16.5643,Rent,1,0,1,0,0,0,1,0,1,0,0,0,2
Brno,Zábrdovice,9800,1+kk,25,1,G,3,2,True,False,True,False,49.201631,16.623343,Rent,1,1,0,0,0,1,0,0,1,0,0,0,2
Brno,Město Brno,18000,2+1,59,1,,3,5,False,False,True,False,49.194575868256,16.608235434005,Rent,1,1,1,1,0,1,0,1,1,1,1,0,0
Brno,Bystrc,15000,2+kk,61,1,C,2,1,False,False,True,False,49.216775,16.49989,Rent,1,0,0,1,1,1,1,1,1,1,1,1,1
Brno,Trnitá,13900,2+kk,58,1,C,3,5,True,False,True,False,49.190449,16.626698,Rent,0,1,0,1,0,0,1,1,0,1,0,1,2
Brno,Bystrc,13500,2+1,60,2,G,3,8,True,False,True,False,49.215766,16.51914,Rent,0,0,1,1,1,0,1,1,1,1,0,0,2
Brno,Žabovřesky,14900,2+kk,53,3,B,2,3,True,False,True,False,49.215346,16.570457,Rent,1,0,0,0,0,0,1,0,0,0,1,1,2
Brno,Město Brno,19238,1+kk,55,0,,3,3,False,False,True,False,49.1956101,16.6095012,Rent,1,0,0,1,0,0,1,1,0,0,0,1,2
Brno,Štýřice,18900,3+1,78,2,G,2,8,True,False,True,False,49.177688,16.593881,Rent,0,0,0,1,1,0,1,0,1,0,1,1,2
Brno,Židenice,9300,1+kk,27,1,B,1,4,True,False,False,False,49.198377,16.64544,Rent,1,1,0,0,0,1,1,1,1,1,0,1,0
Brno,Nový Lískovec,9200,1+1,41,1,,3,1,False,False,False,False,49.1842813,16.5637747,Rent,0,0,1,0,0,1,0,0,1,0,0,0,0
Brno,Štýřice,13750,2+kk,54,1,B,3,5,False,True,True,True,49.183636,16.594774,Rent,0,1,1,0,0,0,0,1,1,0,0,0,2
Brno,Žabovřesky,12900,2+kk,46,1,G,2,2,False,False,True,False,49.212151,16.590403,Rent,1,0,1,1,1,0,1,1,0,1,0,0,1
Brno,Židenice,9400,1+1,29,1,G,1,1,False,False,False,False,49.191528,16.636373,Rent,1,0,0,0,1,1,0,0,1,1,0,0,1
Brno,Veveří,10800,2+1,52,1,G,0,2,True,False,False,False,49.199179,16.591121,Rent,1,0,0,0,0,1,0,0,1,0,0,1,0
Brno,Židenice,9300,1+1,35,1,G,1,1,False,False,False,False,49.197347,16.640501,Rent,1,0,0,0,0,1,0,0,0,0,0,0,2
Brno,Řečkovice,8500,1+kk,33,1,C,1,1,False,True,False,False,49.2439721,16.581744,Rent,0,0,0,1,1,0,1,0,1,1,1,0,0
Brno,Staré Brno,15750,1+kk,0,0,,3,3,False,False,False,False,49.1924294,16.6044458,Rent,1,0,0,0,1,1,0,0,1,1,1,1,0
Brno,Zábrdovice,12000,1+kk,35,1,,3,3,False,False,False,False,49.1989741,16.6235737,Rent,0,1,0,0,0,1,1,0,1,0,1,1,2
