,nazev,kategorie,adresa,lat,lon
128,Kavárna Ronny,kavarna,"Veveří 51, Brno",49.2027446,16.5974253
129,Kavárna Forza Caffé,kavarna,"Bendlova 29, Brno",49.2172963,16.6218548
130,Kavárna Café Plus,kavarna,"Jakubské nám. 580/4, Brno",49.1968554,16.6081359
131,Kavárna Winci,kavarna,"Malinovského náměstí 5, Brno",49.19563370000001,16.6131119
132,Kavárna Piknik box,kavarna,"Björnsonův sad, Brno",49.2070366,16.593754877855787
133,Skull Caffé,kavarna,"náměstí Svobody 21, Brno",49.194984000000005,16.6074347
134,Café Špilberk,kavarna,"Špilberk 210/1, Brno",49.1942121,16.5990225
135,SemTam s láskou,kavarna,"Tábor 36, Brno",49.2129425,16.5916545
136,Kavárna Cafe Infinity (Brno),kavarna,"Skandinávská 128/2, Brno",49.157756899999995,16.6267762
137,Kavárna Kult Cafe,kavarna,"Husitská 6, Brno",49.2240581,16.5936458
138,Kafe & Bar Labyrint,kavarna,"Smetanova 633/51, Brno",49.2036936,16.605861100000002
139,Costa Coffee - Brno,kavarna,"Josefská 427/14, Brno",49.192116999999996,16.612009
140,Music Café Semilasso,kavarna,"Palackého třída 126, Brno",49.2272477,16.5931427
141,Coffee bar Meet me,kavarna,"Veveří 17, Brno",49.1999046,16.6012919
142,Monogram Espresso Bar,kavarna,"Kapucínské náměstí 12, Brno",49.19171729999999,16.6099254
143,Caffe Nico-L,kavarna,"Orlí 1, Brno",49.1932271,16.610032699999998
144,Cukrárna Tři ocásci,kavarna,"Gorkého 39, Brno",49.1989831,16.593014
145,Kavárna Koffein,kavarna,"Panská 13, Brno",49.1933508,16.6078146
146,Café Le Petit,kavarna,"Orlí 20, Brno",49.1939006,16.612201300000002
147,Café Localité,kavarna,"Jánská 12, Brno",49.1943386,16.6104065
148,Panos Česká,kavarna,"Česká 32, Brno",49.1922443,16.6113382
149,The Roses Beer&Coffee,kavarna,"Purkyňova 2415/116, Brno",49.22487720000001,16.5831196
150,Magnet Café,kavarna,"Jiráskova 41, Brno",49.2028235,16.5955041
151,Cukrové nebe,kavarna,"Úvoz 120/120, Brno",49.1981528,16.593760699999997
152,Spital Cafe Mitte,kavarna,"Netroufalky, Brno",49.1775488,16.5672454
153,Rotatoria caff? Medlánky,kavarna,"V Újezdech 1, Brno",49.2415406,16.5730076
154,Kafe Friedrich,kavarna,"Smetanova 45, Brno",49.2032195,16.6049271
155,Divadelní studio Véčko,divadlo,"Brno, Veveří 133",49.2101344,16.5870076
156,Divadlo Polárka,divadlo,"Brno, Tučkova 34",49.20807,16.597696799999998
157,Městské divadlo Brno,divadlo,"Brno, Lidická 16",49.20157015,16.608292153720296
158,Buranteatr,divadlo,"Brno, Kounicova 22",49.2035756,16.6001851
159,Taneční divadlo Mimi Fortunae,divadlo,"Brno, Merhautova 51",49.2070284,16.623789900000002
160,Divadlo Aldente,divadlo,"Brno, Špilberk - Hlídka 2",0.0,0.0
161,Zbrojovkapůl,divadlo,"Brno, Lazaretní 1",49.2034691,16.629675
162,Divadlo Radost,divadlo,"Brno, Bratislavská 32",49.19891,16.6177972
163,Divadlo Husa na provázku,divadlo,"Brno, Zelný trh 9",49.1919549,16.6078883
164,Janáčkovo divadlo,divadlo,"Brno, Rooseveltova 1",49.198308700000005,16.608574700000002
165,Divadelní studio V,divadlo,"Brno, Veveří 313",49.25663395,16.460933765444587
166,Divadlo Reduta,divadlo,"Brno, Zelný trh 4",49.192094,16.6093599
167,Divadlo Barka,divadlo,"Brno, Svatopluka Čecha 35a",49.221401,16.5913975
168,G-studio,divadlo,"Brno, Kounicova 22",49.2035756,16.6001851
169,Divadlo Bolka Polívky,divadlo,"Brno, Jakubské náměstí 5",49.1971875,16.608350899999998
170,Divadlo U stolu,divadlo,"Brno, Zelný trh 9",49.1919549,16.6078883
171,Divadelní studio Marta,divadlo,"Brno, Bayerova 5",49.2058408,16.602003333483296
172,Mahenovo divadlo,divadlo,"Brno, Malinovského nám. 1",49.1959028,16.6136758
173,Divadlo Líšeň,divadlo,"Brno, Obecká 13",49.213722100000005,16.7022224
174,Divadlo Neslyším,divadlo,"Brno, Cejl 87 ",49.199555700000005,16.6249294
175,Národní Divadlo v Brně,divadlo,"Brno, Dvořákova 11",49.196585999999996,16.612920300000003
176,Divadelní dvůr MdB,divadlo,"Brno, Lidická 12",49.201075200000005,16.6085164
177,Divadlo na Orlí / Hudebně-dramatická laboratoř JAMU,divadlo,"Brno, Orlí 19",49.19419415,16.612188192803654
178,Divadlo II.PÁD,divadlo,"Brno, Jana Uhra 11",49.2023796,16.5965492
179,Galerie Třináctka Brno,divadlo,"Brno, Panská 13",49.1933508,16.6078146
180,Divadlo Za hradbami,divadlo,"Brno, Křížová 20",49.187968299999994,16.5939567
181,HaDivadlo,divadlo,"Brno, Poštovská 8D",49.1948434,16.6101543
182,Paradox divadelní studio,divadlo,"Brno, Křížová 95/20",49.1879594,16.5938684
183,Muzeum loutek,divadlo,"Brno, Bratislavská 216/32",49.19891,16.6177972
184,Husův sbor Královo pole,divadlo,"Brno, Charvatská",49.2206014,16.5916367
185,Kino Scala,kino,Moravské náměstí  3,49.1973409,16.608145999999998
