id,date,city,city_district,price,type,area,ownership,building_type,penb,equipment,floor,balcony,terace,lift,garage
500149,2020-11-19 15:37:16.245905 UTC,Praha,Podolí,26500,4+kk,96,1,1,,3,2,TRUE,FALSE,FALSE,FALSE
269157,2020-11-19 15:21:43.434352 UTC,Praha,Podolí,14000,Garsoniéra,30,1,1,B,3,5,TRUE,TRUE,TRUE,FALSE
441372,2020-11-19 15:27:13.733056 UTC,Brno,Zábrdovice,9200,1+kk,28,1,1,D,3,2,FALSE,FALSE,TRUE,FALSE
624714,2020-11-19 16:04:32.400847 UTC,Praha,Smíchov,10500,1+1,32,1,1,E,2,2,FALSE,FALSE,FALSE,FALSE
634486,2020-11-19 15:54:34.667817 UTC,Praha,Újezd nad Lesy,12500,2+kk,60,0,1,C,2,1,FALSE,FALSE,FALSE,FALSE
596158,2020-11-19 16:02:26.39184 UTC,Modletice,Modletice u Dobřejovic,11500,3+1,71,0,0,D,0,2,TRUE,FALSE,FALSE,FALSE
634431,2020-11-19 15:25:03.838068 UTC,Praha,Troja,20000,2+kk,95,1,2,G,3,4,FALSE,TRUE,TRUE,TRUE
630031,2020-11-19 15:56:33.28103 UTC,Praha,Vinohrady,13000,1+1,48,1,1,G,0,3,FALSE,FALSE,FALSE,FALSE
601293,2020-11-19 15:03:49.283175 UTC,Praha,Staré Město,22000,3+1,68,1,1,C,0,1,FALSE,TRUE,FALSE,TRUE
510540,2020-11-19 14:58:39.412616 UTC,Praha,Stodůlky,11000,2+kk,36,1,2,,3,8,FALSE,FALSE,FALSE,FALSE
606291,2020-11-19 15:11:07.897229 UTC,Praha,Petrovice,18000,3+1,71,1,2,G,2,3,TRUE,FALSE,TRUE,FALSE
634621,2020-11-19 15:47:01.072293 UTC,Praha,Žižkov,8900,1+kk,28,1,1,G,3,3,FALSE,FALSE,FALSE,FALSE
506094,2020-11-19 15:26:01.069147 UTC,Praha,Uhříněves,14900,3+1,68,1,2,D,1,6,TRUE,FALSE,TRUE,FALSE
635797,2020-11-19 15:25:30.10425 UTC,Praha,Vršovice,1,3+kk,60,0,2,D,2,10,TRUE,FALSE,TRUE,FALSE
633072,2020-11-19 15:54:51.825681 UTC,Praha,Košíře,11000,1+1,29,1,1,G,2,1,FALSE,FALSE,FALSE,FALSE
632769,2020-11-19 14:59:04.656463 UTC,Praha,Dejvice,13400,2+kk,42,1,1,D,1,5,FALSE,FALSE,TRUE,FALSE
318852,2020-11-19 15:40:00.252238 UTC,Brno,Stránice,14000,2+1,53,1,1,C,2,2,FALSE,FALSE,FALSE,FALSE
633739,2020-11-19 15:52:30.391794 UTC,Praha,Modřany,20000,3+kk,70,1,1,B,3,3,TRUE,FALSE,TRUE,TRUE
199011,2020-11-19 16:08:04.267448 UTC,Praha,Hlubočepy,8500,1+kk,28,1,1,,2,1,FALSE,FALSE,FALSE,FALSE
634337,2020-11-19 16:00:12.989482 UTC,Jablonec nad Nisou,Mšeno nad Nisou,11000,2+1,56,1,2,G,3,2,FALSE,FALSE,TRUE,FALSE
634436,2020-11-19 15:56:18.38645 UTC,Praha,Karlín,39900,4+1,145,1,1,B,3,6,FALSE,TRUE,TRUE,FALSE
630551,2020-11-19 16:09:12.474476 UTC,Praha,Vinohrady,16000,2+kk,60,1,1,A,3,5,FALSE,TRUE,TRUE,FALSE
531932,2020-11-19 15:13:41.418437 UTC,Praha,Vršovice,12500,2+1,50,1,1,,2,5,FALSE,FALSE,FALSE,FALSE
634466,2020-11-19 15:20:00.883167 UTC,Praha,Nové Město,9950,1+kk,30,1,1,G,3,3,FALSE,FALSE,TRUE,TRUE
633580,2020-11-19 15:55:10.39117 UTC,Praha,Braník,18000,3+1,70,1,1,G,2,3,TRUE,FALSE,FALSE,TRUE
634178,2020-11-19 16:04:04.468243 UTC,Brno,Jundrov,11000,2+1,56,1,2,A,3,7,TRUE,FALSE,TRUE,TRUE
502763,2020-11-19 15:31:20.409244 UTC,Praha,Smíchov,13700,2+1,45,1,1,C,3,2,FALSE,FALSE,FALSE,FALSE
599903,2020-11-19 15:08:25.887817 UTC,Praha,Háje,17000,2+kk,43,1,2,B,2,2,FALSE,FALSE,TRUE,FALSE
627466,2020-11-19 15:53:02.833921 UTC,Praha,Nusle,11500,2+kk,39,1,1,D,2,3,FALSE,FALSE,FALSE,FALSE
633326,2020-11-19 16:04:16.749518 UTC,Milovice,Milovice nad Labem,11900,2+kk,50,1,1,,2,1,TRUE,FALSE,TRUE,FALSE
411624,2020-11-19 15:16:25.903255 UTC,Praha,Smíchov,15500,2+kk,58,1,1,C,2,1,FALSE,FALSE,FALSE,FALSE
420265,2020-11-19 15:31:57.553185 UTC,Světlík,,7000,3+1,75,1,1,,1,2,TRUE,FALSE,FALSE,FALSE
