X,Y,název,počet_zaměstnanců,odvětví,address,latitude,longitude
16.6186265066152,49.20590639122721,"Advokátní Kancelář Solvia, s.r.o.", 6 - 9," Profesní, vědecké a technické činnosti",Durďákova 335/27,49.20590639,16.61862651
16.6041152535678,49.1772953510104,Advokátní Kancelář Stejskalová &, 10 - 19," Profesní, vědecké a technické činnosti",Heršpická 813/5,49.17729535,16.60411525
16.6131469217226,49.194552893293,"Advokátní Kancelář Zrůstek, Vodka,", 6 - 9," Profesní, vědecké a technické činnosti",Orlí 542/27,49.19455289,16.61314692
16.5965692776205,49.1918021200466,"AEF, s.r.o.", 10 - 19, Velkoobchod a maloobchod; opravy a údržba motorových vozidel,Pekařská 441/86,49.19180212,16.59656928
16.6113163977187,49.193902163708,"AEOLUS, Řecká Cestovní kancelář, s.r.o.", 10 - 19, Administrativní a podpůrné činnosti,Minoritská 469/1,49.19390216,16.6113164
16.629428935654598,49.2048062658626,"Aeron Plasty CZ, s.r.o.", 10 - 19, Zpracovatelský průmysl,Svitavské nábřeží 1590/27,49.20480627,16.62942894
16.690755465729,49.155575954123705,"AEROSERVIS, s.r.o.", 25 - 49, Zpracovatelský průmysl,Letiště Brno-Tuřany 904/1,49.15557595,16.69075547
16.5828519583162,49.1900444772503,"AETNA, s.r.o.", 20 - 24," Profesní, vědecké a technické činnosti",Hlinky 162/92,49.19004448,16.58285196
16.614555082134398,49.22324850674379,"Affidea Brno, s.r.o.", 10 - 19, Zdravotní a sociální péče,Křižíkova 3011/68,49.22324851,16.61455508
16.603913082323302,49.1453485227907,"AFK Consult, s.r.o.", 6 - 9, Zpracovatelský průmysl,Vídeňská 149/125a,49.14534852,16.60391308
16.6247571149672,49.186405809198206,"AG Foods Group, a.s.", 100 - 199, Zpracovatelský průmysl,Škrobárenská 506/2,49.18640581,16.62475712
16.5578018859513,49.215831820823,"AG Systems, s.r.o.", 6 - 9, Zpracovatelský průmysl,Jundrovská 618/31,49.21583182,16.55780189
16.6249752959868,49.2355293777148,"Agachi Trans, s.r.o.", 6 - 9, Zpracovatelský průmysl,Dusíkova 906/33,49.23552938,16.6249753
16.6111512747931,49.1914114400475,"AGAPO, o.p.s.", 10 - 19," Profesní, vědecké a technické činnosti",Masarykova 506/37,49.19141144,16.61115128
16.6137866291044,49.199725911287295,"Agency Worker Company, s.r.o.", 1000 - 1499, Administrativní a podpůrné činnosti,Příkop 838/6,49.19972591,16.61378663
16.6070371848279,49.1888920909307,"Agentura Basspro, s.r.o.", 10 - 19," Profesní, vědecké a technické činnosti",Nové sady 988/2,49.18889209,16.60703719
16.6271913041471,49.223150898838995,"Agentura Domácí Péče Pomoc, s.r.o.", 10 - 19, Zdravotní a sociální péče,Halasovo náměstí 597/1,49.22315089999999,16.6271913
16.5744915122401,49.2425034152815,"Agentura Dvorek, s.r.o.", 6 - 9," Ubytování, stravování a pohostinství",Kytnerova 403/5,49.24250342,16.57449151
16.635900185162402,49.1846401190739,"Agentura Motiv P, s.r.o.", 10 - 19, Vzdělávání,Řehořova 726/14,49.18464012,16.63590019
16.6027529431681,49.2082432231089,"Ager, s.r.o.", 10 - 19, Činnosti v oblasti nemovitostí,Kotlářská 989/51a,49.20824322,16.60275294
16.611655864776303,49.2039586882201,"Ageris, s.r.o.", 10 - 19," Profesní, vědecké a technické činnosti",Jeřábkova 1848/5,49.20395869,16.61165587
16.5788809466196,49.2414519469661,"AGICO, s.r.o.", 20 - 24, Zpracovatelský průmysl,Ječná 1321/29a,49.24145195,16.57888095
16.6055936541501,49.17616588980721,"Agir - Steel, s.r.o.", 10 - 19, Stavebnictví,Pražákova 1008/69,49.17616589,16.60559365
16.6779739861349,49.1764002479041,"Agora DMT, a.s.", 20 - 24, Velkoobchod a maloobchod; opravy a údržba motorových vozidel,Řípská 1321/11c,49.17640025,16.67797399
16.6779739861349,49.1764002479041,"Agora plus, a.s.", 10 - 19, Velkoobchod a maloobchod; opravy a údržba motorových vozidel,Řípská 1321/11c,49.17640025,16.67797399
16.6684626212117,49.1460991647684,"Agro Brno - Tuřany, a.s.", 50 - 99," Zemědělství, lesnictví, rybářství",Dvorecká 521/27,49.14609917,16.66846262
16.639235512133,49.2053909879919,"Agroing Brno, s.r.o.", 25 - 49, Zpracovatelský průmysl,Kosmákova 899/31,49.20539099,16.63923551
16.664781625214697,49.1835390309336,"Agromeli, s.r.o.", 25 - 49, Stavebnictví,Olomoucká 1177/178,49.18353903,16.66478163
16.5937633521013,49.220895705766104,"Agroplast ve Olešnice, a.s.", 25 - 49, Zpracovatelský průmysl,Slovinská 874/40,49.22089571,16.59376335
16.6219130523709,49.2256426301114,"Agroprojekt Brno Reality, s.r.o.", 6 - 9, Činnosti v oblasti nemovitostí,Slavíčkova 827/1a,49.22564263,16.62191305
16.6219130523709,49.2256426301114,"Agroprojekt Brno, s.r.o.", 6 - 9," Profesní, vědecké a technické činnosti",Slavíčkova 827/1a,49.22564263,16.62191305
16.6222357550688,49.22559770323521,"Agroprojekt PSO, s.r.o.", 25 - 49," Profesní, vědecké a technické činnosti",Slavíčkova 840/1b,49.2255977,16.62223576
16.5696770310007,49.19555880598271,"Agrorail, s.r.o.", 6 - 9, Doprava a skladování,Kamenomlýnská 127/5,49.19555881,16.56967703
16.564190405113,49.192036856147496,"Agroservis Sedláček, s.r.o.", 25 - 49, Velkoobchod a maloobchod; opravy a údržba motorových vozidel,Pisárecká 480/11,49.19203686,16.56419041
16.6025105381786,49.1866793107256,"Ahes, s.r.o.", 10 - 19, Velkoobchod a maloobchod; opravy a údržba motorových vozidel,Křídlovická 344/43,49.18667931,16.60251054
16.5628861806778,49.178999811188405,"Ahifi, s.r.o.", 10 - 19, Velkoobchod a maloobchod; opravy a údržba motorových vozidel,Rybnická 531/107,49.17899981,16.56288618
16.5676890107679,49.17970192113751,"AiD Team, a.s.", 10 - 19," Profesní, vědecké a technické činnosti",Netroufalky 797/7,49.17970192,16.56768901
16.685847442919098,49.181880838762105,"Aidano, s.r.o.", 6 - 9, Velkoobchod a maloobchod; opravy a údržba motorových vozidel,Hviezdoslavova 1092/4,49.18188084,16.68584744
16.604220279200998,49.2084181540834,"AIFE, s.r.o.", 6 - 9," Profesní, vědecké a technické činnosti",Štefánikova 75/8,49.20841815,16.60422028
16.6304216890279,49.2145677890349,"AIS Servis, s.r.o.", 50 - 99, Informační a komunikační činnosti,Provazníkova 1578/84,49.21456779,16.63042169
16.6304216890279,49.2145677890349,"AIS Software, a.s.", 50 - 99, Informační a komunikační činnosti,Provazníkova 1578/84,49.21456779,16.63042169
16.5933538964015,49.2252850989531,"AIS, s.r.o.", 6 - 9," Profesní, vědecké a technické činnosti",Palackého třída 258/73,49.2252851,16.5933539
16.6391486746894,49.173049288087995,"Aiseco, s.r.o.", 20 - 24, Zpracovatelský průmysl,Hájecká 1304/14a,49.17304929,16.63914868
16.6373166433125,49.204174731080506,"Aisoft, s.r.o.", 10 - 19, Informační a komunikační činnosti,Lazaretní 4298/11a,49.20417473,16.63731664
16.5961780936536,49.2025215269456,"Aixial, s.r.o.", 25 - 49, Informační a komunikační činnosti,Jana Uhra 168/10,49.20252153,16.59617809
16.5724271334115,49.21258471403521,"AJ Technology, s.r.o.", 10 - 19, Zpracovatelský průmysl,Fanderlíkova 1767/78,49.21258471,16.57242713
16.6067497697511,49.196170139798205,"Ajala, s.r.o.", 6 - 9, Zpracovatelský průmysl,Jakubská 121/1,49.19617014,16.60674977
16.5999301688475,49.201192911106794,"Ajdahi, s.r.o.", 6 - 9," Ubytování, stravování a pohostinství",Veveří 325/38,49.20119291,16.59993017
16.5829696403134,49.2333649190095,"AJP - Tech, s.r.o.", 25 - 49, Velkoobchod a maloobchod; opravy a údržba motorových vozidel,Hudcova 533/78c,49.23336492,16.58296964
16.6092115354136,49.1906997740501,"AK Prudil a spol., s.r.o.", 6 - 9," Profesní, vědecké a technické činnosti",Bašty 416/8,49.19069977,16.60921154
16.6539702273954,49.2155895012771,"AK Signal Brno, a.s.", 50 - 99, Stavebnictví,Kulkova 944/26,49.2155895,16.65397023
16.6323771866542,49.1985865170354,akad. Sochař Zdeněk Řehořík, 10 - 19," Výroba a rozvod elektřiny, plynu, tepla a klimatizovaného vzduchu",Šámalova 723/78,49.19858652,16.63237719
