nazev,adresa,katastralni_uzemi,puvodni_ucel,kontaminace,skladky,dostupnost_mhd,osvetleni,soudni_spor,restituce,exekuce,shape_length,shape_area
Část areálu Uchytil s.r.o.,K Terminálu,Horní Heršpice,Lehký průmysl,Ne,Ne,Ano,Ano,,,Ne,0.00570090466571238,1.35824855352307e-06
Území při Železniční a nákladovém nádraží,Železniční,Komárov,Průmyslová výroba,Ne,Ne,Ne,Ano,,,Ne,0.00803753477377234,2.71819509458153e-06
Bývalá zahradnická škola,Lány,Bohunice,Školské plochy,Ne,Ne,Ne,Ano,,,Ne,0.0131188370386208,6.08022499570797e-06
Zdevastované území u nákladového nádraží,"U Vlečky, Hradlová",Komárov,Drážní plochy,Ne,Ne,Ne,Ano,,,Ne,0.00585424711174599,1.55132750122278e-06
Areál při ul. Strážní,Strážní 5,Štýřice,Lehký průmysl,Ne,Ne,Ne,Ano,,,Ne,0.00411200148656125,1.0115721379890999e-06
Areál SBK s.r.o.,Svatopetrská 20-22,Komárov,Jiné - služby,Ne,Ne,Ano,Ano,,,Ne,0.00531923214648864,1.7375016020695401e-06
Území vymezené ulicí Dornych a říčkou Ponávkou,Dornych,Komárov,Průmyslová výroba,Ne,Ne,Ano,Ano,,,Ne,0.00510048387614519,9.710105910903808e-07
Bývalý Elplast,Sokolova 59,Horní Heršpice,Průmyslová výroba,Ne,Ne,Ano,Ano,,,Ne,0.00472831095320766,1.0029568228221599e-06
Areál ZD Bobrava,U jezu 1,Chrlice,Zemědělská výroba,Ne,Ne,Ano,Ne,,,Ne,0.0125381193470856,4.86511205368961e-06
Areál bývalého Pozemstavu,Pražákova 625,Horní Heršpice,Lehký průmysl,Ne,Ne,Ne,Ano,,,Ne,0.0124924912619654,3.29013838793822e-06
Bývalý zámeček,Saidova 5,Brněnské Ivanovice,Lehký průmysl,Ne,Ne,Ne,Ano,,,Ne,0.00832004077846818,4.3000972024626404e-06
"Území při ulici Vídeňská, sousedící s firmou ABB",K Železnici,Dolní Heršpice,Lehký průmysl,Ne,Ne,Ne,Ne,,,Ne,0.00558611787220648,1.01403696922966e-06
Území bývalého Autodasu při ulici Vomáčkova,Vomáčkova,Dolní Heršpice,Zemědělská výroba,Ne,Ne,Ne,Ano,,,Ne,0.004180332343507,6.42272369721675e-07
Areál bývalých Inženýrských staveb,Jahodová 56,Brněnské Ivanovice,Lehký průmysl,Ne,Ano,Ne,Ne,,,Ne,0.00824014092203439,3.23930789913984e-06
Bývalý areál zkušebny zemních strojů,Pod Hády,Maloměřice,Lehký průmysl,Ne,Ano,Ano,Ano,,,Ne,0.00988927921560147,3.4548884463103897e-06
Rozestavěný areál bývalé firmy ERGON,Pod Hády,Maloměřice,Průmyslová výroba,Ne,Ne,Ne,Ne,,,Ne,0.0114751268959209,4.81922487831157e-06
Území vymezené ulicí Kaštanovou a řekou Svitavou,Kaštanová 131,Brněnské Ivanovice,Zemědělská výroba,Ne,Ne,Ne,Ano,,,Ne,0.00585775830898226,1.6314376974732799e-06
Území s rozestavěným objektem,Libušina třída,Kohoutovice,Jiné - nespecifikované,Ne,Ne,Ano,Ano,,,Ne,0.0056556390698283,1.43976680187222e-06
Pozemky u podniku Nová Mosilana,Charbulova 148,Černovice,Lehký průmysl,Ne,Ne,Ne,Ano,,,Ne,0.00799712752130803,3.40726194140872e-06
Bývalý TECHNOMAT,Cacovická 72,Husovice,Průmyslová výroba,Ne,Ne,Ne,Ano,,,Ne,0.0045559504372548795,8.03743219993633e-07
Bývalá cementárna,Slaměníkova 23b,Maloměřice,Průmyslová výroba,Ne,Ne,Ne,Ano,,,Ne,0.0160976597498355,1.15744022483329e-05
"Areál mezi ul. Olomoucká, Ostravská a železniční tratí",Olomoucká 1170,Černovice,Lehký průmysl,Ne,Ne,Ne,Ano,,,Ne,0.0111581812994846,1.69702514975944e-06
Areál firmy Vašstav,Kamenice,Bohunice,Lehký průmysl,Ne,Ne,Ne,Ano,,,Ne,0.005286406726240579,8.74699013346078e-07
Letecká opravárenská základna Brno,"Průmyslová, Olomoucká",Černovice,Vojenský prostor,Ne,Ano,Ne,Ano,,,Ne,0.024860998537832,1.93238816024771e-05
"Bývalé manipulační plochy, ul. Vinohradská",Vinohradská,Černovice,Průmyslová výroba,Ne,Ano,Ano,Ne,,,Ne,0.0134398251300042,5.30362048284408e-06
Bývalý mlýn,Schwaigrova,Komárov,Průmyslová výroba,Ne,Ne,Ano,Ano,,,Ne,0.0034736808675457,6.59404250072026e-07
Areál v bývalé pískovně,"V Pískách, V dolině",Holásky,"Těžba surovin, likvidace odpadů",Ne,Ano,Ano,Ano,,,Ne,0.0065732254696231,1.42902075392314e-06
Nevyužívaná část autokempu Obora,Rakovecká,Bystrc,Jiné - služby,Ne,Ne,Ano,Ano,,,Ne,0.0074255907592846405,1.2445393198677602e-06
Bývalý areál MZLU,Pisárecká 11,Pisárky,Školské plochy,Ne,Ne,Ne,Ano,,,Ne,0.0102808372166805,5.52114230679106e-06
"Bývalá MOSILANA, dnes OLLI elektro",Valchařská 36,Husovice,Průmyslová výroba,Ne,Ne,Ne,Ano,,,Ne,0.0068342954532709995,2.03961701711009e-06
