obec,psc,okres,born,died,moved_in,moved_out,population,ppl_0_14,ppl_15_64,ppl_65,unemployment_ix
Slavkov u Brna,62151,Vyškov,81,44,199,128,6564,1092,4331,1141,4.067483
Tvarožná,62161,Brno-venkov,12,17,31,35,1281,210,840,231,3.5335690000000004
Popůvky,62161,Brno-venkov,24,10,87,58,1504,348,1010,146,3.971487
Ketkovice,62081,Brno-venkov,10,6,15,16,606,82,409,115,5.980861
Omice,62161,Brno-venkov,5,8,10,18,781,121,515,145,2.5
Jinačovice,62091,Brno-venkov,10,6,23,11,686,133,434,119,3.962704
Uhřice,62103,Hodonín,11,9,16,11,747,129,493,125,6.504065
Bukovinka,62012,Blansko,10,5,51,12,561,133,342,86,6.116208
Senetářov,62012,Blansko,10,7,26,16,549,107,349,93,6.647399000000001
Vranov,62161,Brno-venkov,10,11,14,19,739,131,486,122,5.6338029999999995
Lipůvka,62012,Blansko,12,14,35,27,1282,223,816,243,3.272727
Těšany,62211,Brno-venkov,4,12,32,20,1220,195,831,194,3.2806800000000003
Kobeřice u Brna,62151,Vyškov,13,5,21,24,703,133,457,113,5.194805000000001
Šlapanice,62161,Brno-venkov,80,58,234,190,7339,1211,4672,1456,3.936671
Modřice,62161,Brno-venkov,53,53,227,170,5053,830,3295,928,3.3687410000000004
Adamov,62011,Blansko,59,55,170,130,4593,671,3034,888,5.320197
Kanice,62161,Brno-venkov,12,6,48,30,927,207,603,117,3.872054
Mouřínov,62051,Vyškov,4,9,7,18,455,66,315,74,8.777429
Příbram na Moravě,62141,Brno-venkov,8,7,24,13,624,103,383,138,5.585106
Nemojany,62193,Vyškov,8,9,15,21,675,132,421,122,4.408353
Malhostovice,62171,Brno-venkov,7,3,17,25,963,158,640,165,5.666156
Mokrá-Horákov,62161,Brno-venkov,29,25,79,56,2772,457,1819,496,4.155125
Sokolnice,62161,Brno-venkov,28,44,92,66,2346,439,1532,375,4.568855
Blučina,62211,Brno-venkov,36,24,44,42,2258,368,1523,367,5.519481
Rajhrad,62211,Brno-venkov,62,33,165,105,3609,674,2286,649,3.60123
Tetčice,62141,Brno-venkov,10,4,62,22,1160,180,763,217,4.551539
Jedovnice,62012,Blansko,27,26,33,52,2745,433,1790,522,4.720088
Moravské Knínice,62091,Brno-venkov,10,10,32,19,901,163,574,164,3.6971830000000003
Střelice,62161,Brno-venkov,31,32,110,50,2874,474,1832,568,3.703704
Veverská Bítýška,62091,Brno-venkov,25,27,84,70,3126,502,2025,599,5.517578
Heršpice,62151,Vyškov,17,7,49,13,829,173,540,116,3.082852
Újezd u Brna,62161,Brno-venkov,43,38,74,73,3244,525,2099,620,4.222011
Lažánky,62171,Brno-venkov,6,9,8,7,717,113,474,130,3.556485
Deblín,62171,Brno-venkov,7,12,17,17,1044,159,695,190,4.700855000000001
Ořechov,62161,Brno-venkov,38,14,86,44,2665,491,1615,559,4.347826
Javůrek,62141,Brno-venkov,4,5,4,6,286,32,190,64,7.142857000000001
Ivaň,62131,Brno-venkov,2,9,8,19,701,96,472,133,6.639003999999999
Černá Hora,62012,Blansko,28,34,71,41,2088,383,1312,393,4.109589
Olšany,62192,Vyškov,6,5,17,3,590,114,392,84,2.879581
Olomučany,62012,Blansko,13,10,25,28,1017,182,642,193,3.533026
Ochoz u Brna,62161,Brno-venkov,13,11,46,22,1344,212,879,253,4.493087999999999
Bílovice nad Svitavou,62161,Brno-venkov,39,34,111,94,3607,825,2258,524,4.711111
Měnín,62211,Brno-venkov,29,20,48,56,1857,320,1290,247,4.451266
Nosislav,62211,Brno-venkov,19,12,41,22,1357,241,898,218,3.8331449999999996
Oslavany,62081,Brno-venkov,39,52,144,102,4653,673,3127,853,6.105398
Pozořice,62161,Brno-venkov,23,28,62,53,2255,412,1463,380,4.557823
Bošovice,62151,Vyškov,21,10,32,28,1216,218,802,196,2.9520299999999997
Kuřim,62091,Brno-venkov,140,89,328,299,11051,2141,7125,1785,4.6391029999999995
Rosice,62141,Brno-venkov,73,59,235,171,5973,1021,3940,1012,5.987261
Rousínov,62192,Vyškov,58,44,145,158,5621,932,3680,1009,4.195804
Hostěnice,62161,Brno-venkov,8,8,34,11,718,156,465,97,4.464286
Babice nad Svitavou,62161,Brno-venkov,14,16,25,12,1152,213,747,192,4.459459
Dambořice,62103,Hodonín,16,11,25,17,1380,250,908,222,6.1470910000000005
Bučovice,62051,Vyškov,65,64,137,181,6439,979,4282,1178,6.419696
Klobouky u Brna,62072,Břeclav,20,27,50,55,2404,386,1558,460,5.882353
Ivančice,62081,Brno-venkov,92,103,256,242,9606,1446,6333,1827,6.230432
Tišnov,62171,Brno-venkov,124,91,300,216,9101,1635,5678,1788,6.629055
Blansko,62012,Blansko,209,220,372,497,20664,2997,13477,4190,4.572261
Pohořelice,62131,Brno-venkov,47,47,190,131,4814,721,3259,834,5.725658
Vyškov,62193,Vyškov,222,212,431,503,21250,2944,14472,3834,4.614231
Brno,62031,Brno-město,4405,4053,8934,9698,377028,55325,246583,75120,7.3165830000000005
