,MČ,Ulice,LAT,LNG,Typ
4159,"ŘEČKOVICE,MOKRÁ HORA",Žitná 21,49.23863946281,16.586637597184,SBA
4160,"ŘEČKOVICE,MOKRÁ HORA",Žitná 21,49.23863946281,16.586637597184,SBI
4161,"ŘEČKOVICE,MOKRÁ HORA",Žitná 21,49.23863946281,16.586637597184,PAP
4162,"ŘEČKOVICE,MOKRÁ HORA",Žitná 21,49.23863946281,16.586637597184,PLA
4163,"ŘEČKOVICE,MOKRÁ HORA",Žitná 21,49.23863946281,16.586637597184,PAP
4164,"ŘEČKOVICE,MOKRÁ HORA",Žitná 21,49.23863946281,16.586637597184,PLA
4165,SLATINA,Blažovická 1-11,49.17181302262,16.685726678397,PLA
4166,SLATINA,Blažovická 1-11,49.17181302262,16.685726678397,PAP
4167,BRNO-SLATINA,Bučkova 2,49.17396657881,16.690666824372002,PAP
4168,BRNO-SLATINA,Bučkova 2,49.17396657881,16.690666824372002,PLA
4169,BRNO-SLATINA,Bučovická 1,49.180716695966,16.682899754971,PLA
4170,BRNO-SLATINA,Bučovická 1,49.180716695966,16.682899754971,PAP
4171,BRNO-SLATINA,Bučovická 11-13,49.180277696407,16.684054455876,PAP
4172,BRNO-SLATINA,Bučovická 11-13,49.180277696407,16.684054455876,PLA
4173,BRNO-SLATINA,Bučovická 11-13,49.180277696407,16.684054455876,SBI
4174,BRNO-SLATINA,Bučovická 11-13,49.180277696407,16.684054455876,SBA
4175,BRNO-SLATINA,Bučovická 7,49.180492061935,16.683393378357,PLA
4176,BRNO-SLATINA,Bučovická 7,49.180492061935,16.683393378357,PAP
4177,BRNO-SLATINA,Bučovická 7,49.180492061935,16.683393378357,PAP
4178,BRNO-SLATINA,Bučovická 7,49.180492061935,16.683393378357,PLA
4179,BRNO-SLATINA,Dědická 1,49.181340152153,16.683343164601,PLA
4180,BRNO-SLATINA,Dědická 1,49.181340152153,16.683343164601,PAP
4181,BRNO-SLATINA,Dědická 1,49.181340152153,16.683343164601,PAP
4182,BRNO-SLATINA,Dědická 13,49.181152655216,16.684794457952002,PAP
4183,BRNO-SLATINA,Dědická 13,49.181152655216,16.684794457952002,PLA
4184,SLATINA,Dědická 14,49.180740439619,16.68470314293,SBA
4185,SLATINA,Dědická 14,49.180740439619,16.68470314293,SBI
4186,SLATINA,Dědická 14,49.180740439619,16.68470314293,SBI
4187,BRNO-SLATINA,Dědická 24,49.179619231933,16.688008442061,SBI
4188,BRNO-SLATINA,Dědická 24,49.179619231933,16.688008442061,SBA
4189,BRNO-SLATINA,Dědická 24,49.179619231933,16.688008442061,PAP
4190,BRNO-SLATINA,Dědická 24,49.179619231933,16.688008442061,PLA
4191,BRNO-SLATINA,Dědická 25,49.180245325767,16.686943059068,PAP
4192,BRNO-SLATINA,Dědická 25,49.180245325767,16.686943059068,PLA
4193,BRNO-SLATINA,Dědická 29,49.179994615897,16.687494441955,PAP
4194,BRNO-SLATINA,Dědická 29,49.179994615897,16.687494441955,PAP
4195,BRNO-SLATINA,Dědická 29,49.179994615897,16.687494441955,PLA
4196,BRNO-SLATINA,Dědická 29,49.179994615897,16.687494441955,PLA
4197,BRNO-SLATINA,Dědická 35,49.179684460725,16.688745303057,PAP
4198,BRNO-SLATINA,Dědická 35,49.179684460725,16.688745303057,PLA
4199,BRNO-SLATINA,Jihomoravské nám. 1 - ALBERT,49.178398892393,16.685037352121,PLA
4200,BRNO-SLATINA,Jihomoravské nám. 1 - ALBERT,49.178398892393,16.685037352121,PAP
4201,BRNO-SLATINA,Jihomoravské nám. 1 - ALBERT,49.178398892393,16.685037352121,PAP
4202,BRNO-SLATINA,Jihomoravské nám. u ZŠ,49.179408995327,16.685817080056,PLA
4203,BRNO-SLATINA,Jihomoravské nám. u ZŠ,49.179408995327,16.685817080056,PAP
4204,BRNO-SLATINA,"Kigginsova 10,10a",49.180342090032,16.67091584994,PAP
4205,BRNO-SLATINA,"Kigginsova 10,10a",49.180342090032,16.67091584994,PLA
4206,BRNO-SLATINA,Kigginsova 12,49.17999677887,16.671654014569,PAP
4207,BRNO-SLATINA,Kigginsova 12,49.17999677887,16.671654014569,PLA
4208,BRNO-SLATINA,Kigginsova 8,49.180528685736,16.670525098661,PAP
4209,BRNO-SLATINA,Kigginsova 8,49.180528685736,16.670525098661,PLA
4210,SLATINA,Kikrleho 3,49.175876107048,16.689884342881,PLA
4211,SLATINA,Kikrleho 3,49.175876107048,16.689884342881,PAP
4212,BRNO-SLATINA,Kroměřížká 11,49.178653438745,16.688277330307,SBA
4213,BRNO-SLATINA,Kroměřížká 11,49.178653438745,16.688277330307,SBI
4214,BRNO-SLATINA,Kroměřížká 11,49.178653438745,16.688277330307,PLA
4215,BRNO-SLATINA,Kroměřížká 11,49.178653438745,16.688277330307,PAP
4216,BRNO-SLATINA,Kroměřížská 5,49.17908451864,16.687284376447998,PAP
4217,BRNO-SLATINA,Kroměřížská 5,49.17908451864,16.687284376447998,PLA
4218,BRNO-SLATINA,Křehlíkova 21,49.171520033155,16.689218509429,PAP
4219,BRNO-SLATINA,Křehlíkova 21,49.171520033155,16.689218509429,PLA
4220,BRNO-SLATINA,Křehlíkova 23,49.171236336082,16.689620130926002,PLA
4221,BRNO-SLATINA,Křehlíkova 23,49.171236336082,16.689620130926002,PAP
4222,SLATINA,Langrova 13,49.180191512311,16.677274082710003,SBA
4223,SLATINA,Langrova 13,49.180191512311,16.677274082710003,SBI
4224,BRNO-SLATINA,Langrova 1b,49.178620810646,16.679054463654,PLA
4225,BRNO-SLATINA,Langrova 1b,49.178620810646,16.679054463654,PAP
4226,BRNO-SLATINA,Langrova 1e,49.178066027175,16.680821230308002,PLA
4227,BRNO-SLATINA,Langrova 1e,49.178066027175,16.680821230308002,PAP
4228,BRNO-SLATINA,Langrova 21,49.180646516372,16.676428760872,PLA
4229,BRNO-SLATINA,Langrova 21,49.180646516372,16.676428760872,PAP
4230,SLATINA,Langrova 37,49.181428532893,16.675057558461003,SBA
4231,SLATINA,Langrova 37,49.181428532893,16.675057558461003,SBI
4232,SLATINA,Langrova 37,49.181428532893,16.675057558461003,PLA
4233,SLATINA,Langrova 37,49.181428532893,16.675057558461003,PAP
4234,BRNO-SLATINA,Langrova 5,49.179753927324,16.678028850118,PLA
4235,BRNO-SLATINA,Langrova 5,49.179753927324,16.678028850118,PAP
4236,SLATINA,Lučiny 17-23,49.179056917389,16.680115951685,SBA
4237,SLATINA,Lučiny 17-23,49.179056917389,16.680115951685,SBI
4238,BRNO-SLATINA,Mikulčická - v areálu SSO,49.181388756675,16.690422403389,SBA
4239,BRNO-SLATINA,Mikulčická - v areálu SSO,49.181388756675,16.690422403389,SBI
4240,BRNO-SLATINA,Mikulčická - v areálu SSO,49.181388756675,16.690422403389,PLA
4241,SLATINA,Mikulčická 1,49.178280395751,16.685838917348,SBA
4242,SLATINA,Mikulčická 1,49.178280395751,16.685838917348,SBI
4243,BRNO-SLATINA,Mikulčická 14,49.1801133028,16.690109443208,SBA
4244,BRNO-SLATINA,Mikulčická 14,49.1801133028,16.690109443208,SBI
4245,BRNO-SLATINA,Mikulčická 14,49.1801133028,16.690109443208,PLA
