,Název,Adresa,lat,lon
167,Veřejné hřiště na pétanque,"Špilberk, Brno-město, Brno",49.1955153,16.5967466
168,Kuželna KK Brno-Židenice,Pechova 1497/6a,0.0,0.0
169,Plavecké kurzy Brno,Poděbradova 267,49.2169331,16.6003819
170,TJ Sokol Starý Lískovec,Máchalova 364/4,49.164152,16.5633019
171,Wudang Brno,Rašínova 119/3,49.1962341,16.6075974
172,Aikikai Aikido Brno,Křenová 89/19,49.1922554,16.6186873
173,Paintball Hall Brno,Hybešova 956/1,49.1882572,16.6088251
174,Aikido Yoshinkan Brno,Veveří 462/15,49.1996673,16.6016996
175,Fitness Prodejna Brno,Nováčkova 418,49.2083415,16.6295423
176,Karate klub Brno,M. Horákové 323,48.9843361,14.4403231
177,Pure Yoga Studio Brno,Malinovského nám. 4,49.1953649,16.6141236
178,Studio Artík,Rybkova 23,49.2027005,16.5880212
179,Joga ve vzduchu®,Minoritská 10,49.1939451,16.6109946
180,Jiri Novák,Erbenova 372,49.2092979,16.6104386
181,Jakub Mašek: Tenisový trenér Brno,Chironova 8,49.1760833,16.548354
182,Škola Tae Kwon-do Club Brno ITF,Cejl 60/61,49.1988394,16.6212889
183,Bistro anatomy Yoga & Akrobacie & Nový cirkus,Starobrněnská 33/16,49.1924948,16.6067044
184,"VSK Technika Brno, oddíl krasobruslení p. s. - Krasobruslení Brno",Střední 595/26,49.8331353,18.2867567
185,Yoga Garden Brno,Veveří 455/8,49.1992317,16.6029042
186,Velodrom,Křížkovského 416/22,49.1839386,16.5798132
187,Sokol Tyrš Brno,Francouzská 87,49.2022862,16.6224651
188,Blue Star Brno,Purkyňova 2640/93,49.2234304,16.5827784
189,"Fyzioterapie Brno - SM systém, Yoga, Pilates - Fyzio5",Merhautova 1070/224,49.2170327,16.6283541
190,Sdružení Jóga v denním životě,Bezručova 66,49.6756126,18.6669875
191,Městské haly Vodova,Vodova 108,49.22768765,16.58399005507667
192,Hokejová hala Úvoz,Úvoz 1012,49.2035876,16.5912127
193,Panther BJJ Brno,Mlýnská 453/65,48.8077928,16.640583
194,Petra Donociková,Pekařská 3,49.9395936,17.9024925
195,Combatives sebeobrana Brno,Šujanovo nám. 1,49.1894029,16.6204273
196,RPR PAINTBALL SPORT,Hybešova 956,49.1882572,16.6088251
197,Hung Gar Kung Fu Škola Brno,Jana Babáka 2733/11,49.216523,16.5882278
198,YOGA i-D,Poštovská 68/3,49.1948655,16.6103773
199,Krav Maga Academy Brno,nám. 28. října 22,49.2023284,16.6139146
200,MFG - Magic Free Group,Vídeňská 297/99,50.0203894,14.4639779
201,PumpTrack Brno - Lesná,Dusíkova 795/7,49.2370849,16.6263225
202,Orlovna Brno-Bohunice,Hraničky,49.7596366,18.1597091
203,GYM13,Benešova 274,49.1293038,16.6069813
204,Judo Budo Brno,Gajdošova 1282,49.2023284,16.6437119
205,Krav Maga Brno KMCS,Cejl 29,49.2020152,16.6266435
206,Dave Fitness,Jana Babáka 5,49.2147281,16.5892056
